window  66/720  2026-05-22T10:37:28Z → 2026-05-22T10:47:28Z  (+0 new, 706 total)
window  67/720  2026-05-22T10:47:28Z → 2026-05-22T10:57:28Z  (+0 new, 706 total)
window  68/720  2026-05-22T10:57:28Z → 2026-05-22T11:07:28Z  (+0 new, 706 total)
window  69/720  2026-05-22T11:07:28Z → 2026-05-22T11:17:28Z  (+0 new, 706 total)
window  70/720  2026-05-22T11:17:28Z → 2026-05-22T11:27:28Z  (+0 new, 706 total)
window  71/720  2026-05-22T11:27:28Z → 2026-05-22T11:37:28Z  (+1 new, 707 total)
window  72/720  2026-05-22T11:37:28Z → 2026-05-22T11:47:28Z  (+0 new, 707 total)
window  73/720  2026-05-22T11:47:28Z → 2026-05-22T11:57:28Z  (+0 new, 707 total)
window  74/720  2026-05-22T11:57:28Z → 2026-05-22T12:07:28Z  (+0 new, 707 total)
window  75/720  2026-05-22T12:07:28Z → 2026-05-22T12:17:28Z  (+0 new, 707 total)
window  76/720  2026-05-22T12:17:28Z → 2026-05-22T12:27:28Z  (+0 new, 707 total)
window  77/720  2026-05-22T12:27:28Z → 2026-05-22T12:37:28Z  (+0 new, 707 total)
window  78/720  2026-05-22T12:37:28Z → 2026-05-22T12:47:28Z  (+0 new, 707 total)
window  79/720  2026-05-22T12:47:28Z → 2026-05-22T12:57:28Z  (+0 new, 707 total)
window  80/720  2026-05-22T12:57:28Z → 2026-05-22T13:07:28Z  (+0 new, 707 total)
window  81/720  2026-05-22T13:07:28Z → 2026-05-22T13:17:28Z  (+0 new, 707 total)
window  82/720  2026-05-22T13:17:28Z → 2026-05-22T13:27:28Z  (+0 new, 707 total)
window  83/720  2026-05-22T13:27:28Z → 2026-05-22T13:37:28Z  (+0 new, 707 total)
window  84/720  2026-05-22T13:37:28Z → 2026-05-22T13:47:28Z  (+0 new, 707 total)
window  85/720  2026-05-22T13:47:28Z → 2026-05-22T13:57:28Z  (+0 new, 707 total)
window  86/720  2026-05-22T13:57:28Z → 2026-05-22T14:07:28Z  (+0 new, 707 total)
window  87/720  2026-05-22T14:07:28Z → 2026-05-22T14:17:28Z  (+0 new, 707 total)
window  88/720  2026-05-22T14:17:28Z → 2026-05-22T14:27:28Z  (+0 new, 707 total)
window  89/720  2026-05-22T14:27:28Z → 2026-05-22T14:37:28Z  (+2 new, 709 total)
window  90/720  2026-05-22T14:37:28Z → 2026-05-22T14:47:28Z  (+0 new, 709 total)
window  91/720  2026-05-22T14:47:28Z → 2026-05-22T14:57:28Z  (+0 new, 709 total)
window  92/720  2026-05-22T14:57:28Z → 2026-05-22T15:07:28Z  (+0 new, 709 total)
window  93/720  2026-05-22T15:07:28Z → 2026-05-22T15:17:28Z  (+0 new, 709 total)
window  94/720  2026-05-22T15:17:28Z → 2026-05-22T15:27:28Z  (+2 new, 711 total)
window  95/720  2026-05-22T15:27:28Z → 2026-05-22T15:37:28Z  (+0 new, 711 total)
window  96/720  2026-05-22T15:37:28Z → 2026-05-22T15:47:28Z  (+0 new, 711 total)
window  97/720  2026-05-22T15:47:28Z → 2026-05-22T15:57:28Z  (+0 new, 711 total)
window  98/720  2026-05-22T15:57:28Z → 2026-05-22T16:07:28Z  (+0 new, 711 total)
window  99/720  2026-05-22T16:07:28Z → 2026-05-22T16:17:28Z  (+1 new, 712 total)
window 100/720  2026-05-22T16:17:28Z → 2026-05-22T16:27:28Z  (+0 new, 712 total)
window 101/720  2026-05-22T16:27:28Z → 2026-05-22T16:37:28Z  (+0 new, 712 total)
window 102/720  2026-05-22T16:37:28Z → 2026-05-22T16:47:28Z  (+0 new, 712 total)
window 103/720  2026-05-22T16:47:28Z → 2026-05-22T16:57:28Z  (+0 new, 712 total)
window 104/720  2026-05-22T16:57:28Z → 2026-05-22T17:07:28Z  (+0 new, 712 total)
window 105/720  2026-05-22T17:07:28Z → 2026-05-22T17:17:28Z  (+0 new, 712 total)
window 106/720  2026-05-22T17:17:28Z → 2026-05-22T17:27:28Z  (+0 new, 712 total)
window 107/720  2026-05-22T17:27:28Z → 2026-05-22T17:37:28Z  (+0 new, 712 total)
window 108/720  2026-05-22T17:37:28Z → 2026-05-22T17:47:28Z  (+0 new, 712 total)
window 109/720  2026-05-22T17:47:28Z → 2026-05-22T17:57:28Z  (+0 new, 712 total)
window 110/720  2026-05-22T17:57:28Z → 2026-05-22T18:07:28Z  (+0 new, 712 total)
window 111/720  2026-05-22T18:07:28Z → 2026-05-22T18:17:28Z  (+0 new, 712 total)
window 112/720  2026-05-22T18:17:28Z → 2026-05-22T18:27:28Z  (+0 new, 712 total)
window 113/720  2026-05-22T18:27:28Z → 2026-05-22T18:37:28Z  (+0 new, 712 total)
