key,category,type,flags,default,source,lineno,django_setting,found_by,safe_to_delete,hints,has_db_value,has_disk_value,usages
analytics.backend,static/active,inferred,FLAG_NOSTORE,"""noop""",src/sentry/options/defaults.py,640,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/analytics/__init__.py
analytics.options,static/active,inferred,FLAG_NOSTORE,{},src/sentry/options/defaults.py,641,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/analytics/__init__.py
api-token-async-flush,static/active,Bool,FLAG_ALLOW_EMPTY | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3675,,both,NEVER_DELETE,,,,src/sentry/models/apitoken.py; tests/sentry/models/test_apitoken.py
api.deprecation.brownout-cron,static/active,String,FLAG_AUTOMATOR_MODIFIABLE,"""0 12 * * *""",src/sentry/options/defaults.py,1525,,both,NEVER_DELETE,,,,src/sentry/api/helpers/deprecation.py; tests/sentry/api/helpers/test_deprecation.py
api.deprecation.brownout-duration,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,60,src/sentry/options/defaults.py,1533,,both,NEVER_DELETE,,,,src/sentry/api/helpers/deprecation.py; tests/sentry/api/helpers/test_deprecation.py
api.organization.disable-last-deploys,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,1280,,both,NEVER_DELETE,,,,src/sentry/api/serializers/models/organization.py; src/sentry/killswitches.py; tests/sentry/api/serializers/test_organization.py
api.project-transfer.rate-limit-overrides,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,3,src/sentry/options/defaults.py,319,,both,NEVER_DELETE,,,,src/sentry/core/endpoints/project_transfer.py; tests/sentry/core/endpoints/test_project_transfer.py
api.rate-limit.org-create,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,5,src/sentry/options/defaults.py,312,,both,NEVER_DELETE,,,,src/sentry/core/endpoints/organization_index.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx; tests/sentry/core/endpoints/test_organization_index.py
apigateway.cell_resolver.enabled,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3735,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/apigateway.py; src/sentry/hybridcloud/apigateway_async/apigateway.py; tests/sentry/feedback/endpoints/test_error_page_embed.py; tests/sentry/web/frontend/test_js_sdk_loader.py
apigateway.proxy.circuit-breaker.config,static/active,Dict,FLAG_AUTOMATOR_MODIFIABLE,"{
        ""error_limit"": 100",src/sentry/hybridcloud/options.py,187,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
apigateway.proxy.circuit-breaker.enabled,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/hybridcloud/options.py,198,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
apigateway.proxy.circuit-breaker.enforce,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/hybridcloud/options.py,204,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
apigateway.proxy.timeout,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,None,src/sentry/hybridcloud/options.py,181,,both,NEVER_DELETE,,,,src/sentry/hybridcloud/apigateway/proxy.py
auth-fly.client-id,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/fly/apps.py,15,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/auth/providers/fly/provider.py
auth-fly.client-secret,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/fly/apps.py,19,,both,NEVER_DELETE,,,,getsentry/conf/settings/defaults.py; src/sentry/auth/providers/fly/provider.py
auth-google.client-id,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/google/apps.py,14,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; getsentry/conf/settings/dev.py; getsentry/conf/settings/singletenant.py; src/sentry/auth/providers/google/provider.py; src/sentry/identity/google/provider.py; src/sentry/runner/initializer.py
auth-google.client-secret,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK,,src/sentry/auth/providers/google/apps.py,17,,both,NEVER_DELETE,,,,getsentry/conf/settings/defaults.py; getsentry/conf/settings/dev.py; getsentry/conf/settings/singletenant.py; src/sentry/auth/providers/google/provider.py; src/sentry/identity/google/provider.py; src/sentry/runner/initializer.py
auth.allow-registration,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_REQUIRED,False,src/sentry/options/defaults.py,271,,both,NEVER_DELETE,,,,CHANGES; getsentry/conf/settings/defaults.py; src/sentry/utils/auth.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx; tests/js/fixtures/installWizard.ts; tests/sentry/api/endpoints/test_auth_config.py; tests/sentry/api/endpoints/test_system_options.py; tests/sentry/web/frontend/test_auth_login.py; tests/sentry/web/test_api.py; tests/sentry/web/test_client_config.py
auth.ip-rate-limit,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,261,,both,NEVER_DELETE,,,,src/sentry/web/forms/accounts.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx
auth.user-rate-limit,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,266,,both,NEVER_DELETE,,,,src/sentry/web/forms/accounts.py; static/app/views/admin/adminSettings.spec.tsx; static/app/views/admin/adminSettings.tsx; static/app/views/admin/options.tsx
aws-lambda.access-key-id,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,824,,both,NEVER_DELETE,,,,getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/client.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.account-number,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""943013980633""",src/sentry/options/defaults.py,827,,string,NEVER_DELETE,,,,getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/utils.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.cloudformation-url,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,826,,both,NEVER_DELETE,,,,getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/integration.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.host-region,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""us-east-2""",src/sentry/options/defaults.py,841,,both,NEVER_DELETE,,,,src/sentry/integrations/aws_lambda/client.py
aws-lambda.node.layer-name,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""SentryNodeServerlessSDK""",src/sentry/options/defaults.py,828,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.node.layer-version,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,833,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.python.layer-name,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""SentryPythonServerlessSDK""",src/sentry/options/defaults.py,834,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.python.layer-version,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,839,,string,NEVER_DELETE,,,,src/sentry/testutils/pytest/sentry.py
aws-lambda.secret-access-key,static/active,inferred,FLAG_CREDENTIAL | FLAG_PRIORITIZE_DISK,,src/sentry/options/defaults.py,825,,both,NEVER_DELETE,credential_flag,,,getsentry/conf/settings/defaults.py; src/sentry/integrations/aws_lambda/client.py; src/sentry/testutils/pytest/sentry.py
aws-lambda.thread-count,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,100,src/sentry/options/defaults.py,843,,both,NEVER_DELETE,,,,src/sentry/integrations/aws_lambda/integration.py
backfill_new_categories.categories,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,424,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/api/test_admin_deletebillingmetrichistory.py; tests/getsentry/billing/test_backfill_new_categories.py
backfill_new_categories.chunk_size,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,100,getsentry/models/__init__.py,413,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/billing/test_backfill_new_categories.py
backfill_new_categories.lock_ttl,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,30 * 60,getsentry/models/__init__.py,441,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py
backfill_new_categories.org_ids,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,433,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/api/test_admin_deletebillingmetrichistory.py; tests/getsentry/billing/test_backfill_new_categories.py
backfill_new_categories.prioritize_paid_plans,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,True,getsentry/models/__init__.py,450,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py
backfill_new_categories.should_run,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,getsentry/models/__init__.py,405,,both,NEVER_DELETE,,,,getsentry/billing/backfill_new_categories.py; tests/getsentry/billing/test_backfill_new_categories.py
backpressure.checking.enabled,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2236,,both,NEVER_DELETE,,,,src/sentry/processing/backpressure/health.py; tests/sentry/processing/backpressure/test_checking.py; tests/sentry/processing/backpressure/test_monitoring.py
backpressure.checking.interval,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,5,src/sentry/options/defaults.py,2238,,both,NEVER_DELETE,,,,src/sentry/processing/backpressure/arroyo.py; tests/sentry/processing/backpressure/test_checking.py
backpressure.high_watermarks.attachments-store,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.8,src/sentry/options/defaults.py,2246,,none,NEVER_DELETE,,,,
backpressure.high_watermarks.post-process-locks,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.8,src/sentry/options/defaults.py,2261,,none,NEVER_DELETE,,,,
backpressure.high_watermarks.processing-locks,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.8,src/sentry/options/defaults.py,2256,,none,NEVER_DELETE,,,,
backpressure.high_watermarks.processing-store,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.8,src/sentry/options/defaults.py,2251,,none,NEVER_DELETE,,,,
backpressure.high_watermarks.processing-store-transactions,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.8,src/sentry/options/defaults.py,2266,,none,NEVER_DELETE,,,,
backpressure.monitoring.enabled,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2231,,both,NEVER_DELETE,,,,src/sentry/processing/backpressure/health.py; src/sentry/processing/backpressure/monitor.py; tests/sentry/processing/backpressure/test_checking.py; tests/sentry/processing/backpressure/test_monitoring.py
backpressure.monitoring.interval,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,5,src/sentry/options/defaults.py,2233,,both,NEVER_DELETE,,,,src/sentry/processing/backpressure/monitor.py
backpressure.status_ttl,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,60,src/sentry/options/defaults.py,2242,,both,NEVER_DELETE,,,,src/sentry/processing/backpressure/health.py; tests/sentry/processing/backpressure/test_checking.py; tests/sentry/processing/backpressure/test_monitoring.py
beacon.anonymous,static/active,Bool,FLAG_REQUIRED,,src/sentry/options/defaults.py,327,,both,NEVER_DELETE,,,,src/sentry/tasks/beacon.py; static/app/views/admin/adminSettings.tsx; static/app/views/admin/installWizard/index.spec.tsx; static/app/views/admin/installWizard/index.tsx; static/app/views/admin/options.tsx; tests/js/fixtures/installWizard.ts; tests/sentry/tasks/test_beacon.py
beacon.record_cpu_ram_usage,static/active,Bool,FLAG_ALLOW_EMPTY | FLAG_REQUIRED,,src/sentry/options/defaults.py,328,,both,NEVER_DELETE,,,,src/sentry/tasks/beacon.py; src/sentry/utils/settings.py; static/app/views/admin/options.tsx; static/app/views/beaconConsent/index.tsx; tests/sentry/tasks/test_beacon.py
billing.add-billing-metric-usage-admin.organizations,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,395,,both,NEVER_DELETE,,,,getsentry/features.py
billing.create_invoices.tasks_per_second,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,24,getsentry/models/__init__.py,745,,both,NEVER_DELETE,,,,getsentry/billing/platform/services/invoicer/service.py; getsentry/tasks/invoices.py; tests/getsentry/billing/platform/services/invoicer/test_service.py
billing.seat-based-seer-launch,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,False,getsentry/models/__init__.py,595,,both,NEVER_DELETE,,,,getsentry/billing/plans/default_plan_items.py; tests/getsentry/billing/plans/test_tiered_plan_item.py; tests/getsentry/billing/usage/test_tally_usage_ondemand.py
billing.usage_service.cutover_date,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,"""""",getsentry/models/__init__.py,258,,string,NEVER_DELETE,,,,getsentry/billing/platform/services/usage/service.py; tests/getsentry/billing/platform/services/usage/test_service.py
billing.usage_service.enabled,static/active,inferred,FLAG_MODIFIABLE_BOOL | FLAG_AUTOMATOR_MODIFIABLE,False,getsentry/models/__init__.py,253,,string,NEVER_DELETE,,,,getsentry/billing/platform/services/usage/service.py; tests/getsentry/billing/platform/services/usage/test_service.py
billing.usagebuffer.batch_incr.projects,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],getsentry/models/__init__.py,492,,both,NEVER_DELETE,,,,getsentry/consumers/outcomes_consumer.py; tests/getsentry/consumers/test_outcomes_consumer.py
billing.usagebuffer.batch_incr.rollout,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.0,getsentry/models/__init__.py,467,,string,NEVER_DELETE,,,,getsentry/consumers/outcomes_consumer.py; tests/getsentry/consumers/test_outcomes_consumer.py
billing.usagebuffer.redis.pipeline_size,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,1000,getsentry/models/__init__.py,459,,both,NEVER_DELETE,,,,getsentry/billing/usagebuffer/redis.py; tests/getsentry/billing/usagebuffer/test_redis.py
billing.usagebuffer.scan_limit,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,10000,getsentry/models/__init__.py,589,,both,NEVER_DELETE,,,,getsentry/billing/tasks/usagebuffer.py
billing.usagebuffer.unified_pipeline.chunk_size,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,10000,getsentry/models/__init__.py,484,,both,NEVER_DELETE,,,,getsentry/billing/usagebuffer/redis.py; tests/getsentry/billing/usagebuffer/test_redis.py
billing.usagebuffer.unified_pipeline.rollout,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,0.0,getsentry/models/__init__.py,476,,both,NEVER_DELETE,,,,getsentry/billing/usagebuffer/redis.py; tests/getsentry/billing/usagebuffer/test_redis.py; tests/getsentry/consumers/test_outcomes_consumer.py
chart-rendering.chartcuterie,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,"{""url"": ""http://127.0.0.1:7901""}",src/sentry/options/defaults.py,444,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/charts/chartcuterie.py; tests/sentry/charts/test_chartcuterie.py
chart-rendering.enabled,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,439,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/charts/base.py; tests/acceptance/chartcuterie/test_chart_renderer.py; tests/sentry/charts/test_chartcuterie.py
chart-rendering.storage.backend,static/active,inferred,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,None,src/sentry/options/defaults.py,451,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/charts/chartcuterie.py
chart-rendering.storage.options,static/active,Dict,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,None,src/sentry/options/defaults.py,456,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/singletenant.py; src/sentry/charts/chartcuterie.py
chunk-upload.no-compression,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3462,,both,NEVER_DELETE,,,,src/sentry/api/endpoints/chunk.py; tests/sentry/api/endpoints/test_chunk_upload.py
cleanup.abort_execution,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,349,,both,NEVER_DELETE,,,,src/sentry/runner/commands/cleanup.py
codecov.api-bridge-signing-secret,static/active,inferred,FLAG_CREDENTIAL | FLAG_PRIORITIZE_DISK,,src/sentry/options/defaults.py,691,,both,NEVER_DELETE,credential_flag,,,getsentry/conf/settings/defaults.py; src/sentry/codecov/client.py; tests/sentry/codecov/test_client.py
codecov.client-secret,static/active,inferred,FLAG_CREDENTIAL | FLAG_PRIORITIZE_DISK,,src/sentry/options/defaults.py,690,,both,NEVER_DELETE,credential_flag,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/defaults.py; src/sentry/integrations/utils/codecov.py; tests/sentry/integrations/utils/test_codecov.py
codecov.signing_secret,static/active,inferred,FLAG_NOSTORE,,getsentry/models/__init__.py,75,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/defaults.py; src/sentry/web/frontend/oauth_token.py; tests/sentry/web/frontend/test_oauth_token.py
consumer.dump_stacktrace_on_shutdown,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3514,,both,NEVER_DELETE,,,,src/sentry/runner/commands/run.py
consumer.join.profiling.rate,static/active,Float,FLAG_AUTOMATOR_MODIFIABLE,0.0,src/sentry/options/defaults.py,3658,,both,NEVER_DELETE,,,,src/sentry/utils/sdk.py
consumer.shared_memory_spawn_process,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3537,,both,NEVER_DELETE,,,,src/sentry/utils/arroyo.py
consumer.verbose_multiprocessing_logs,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3525,,both,NEVER_DELETE,,,,src/sentry/runner/commands/run.py
continuous-profiling-beta,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,False,getsentry/models/__init__.py,739,,both,NEVER_DELETE,,,,CHANGES; getsentry/features.py; getsentry/jobs/add_profile_beta_org_options.py; tests/getsentry/test_features.py; tests/jobs/test_add_profile_beta_org_options.py
crons.dispatch_incident_occurrences_to_consumer,static/active,inferred,FLAG_BOOL | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2282,,both,NEVER_DELETE,,,,src/sentry/monitors/logic/incident_occurrence.py; tests/sentry/monitors/logic/test_incident_occurrence.py
crons.organization.disable-check-in,static/active,Sequence,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,2273,,string,NEVER_DELETE,,,,src/sentry/killswitches.py; src/sentry/monitors/consumers/monitor_consumer.py; tests/sentry/monitors/consumers/test_monitor_consumer.py
crons.per_monitor_rate_limit,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,6,src/sentry/options/defaults.py,2339,,both,NEVER_DELETE,,,,src/sentry/monitors/consumers/monitor_consumer.py; src/sentry/monitors/rate_limit.py; tests/sentry/monitors/consumers/test_monitor_consumer.py; tests/sentry/monitors/test_rate_limit.py
crons.system_incidents.collect_metrics,static/active,inferred,FLAG_BOOL | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2290,,both,NEVER_DELETE,,,,src/sentry/monitors/system_incidents.py; tests/sentry/monitors/test_clock_dispatch.py; tests/sentry/monitors/test_system_incidents.py
crons.system_incidents.pct_deviation_anomaly_threshold,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,-10,src/sentry/options/defaults.py,2310,,both,NEVER_DELETE,,,,src/sentry/monitors/system_incidents.py; tests/sentry/monitors/test_system_incidents.py
crons.system_incidents.pct_deviation_incident_threshold,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,-30,src/sentry/options/defaults.py,2318,,both,NEVER_DELETE,,,,src/sentry/monitors/system_incidents.py; tests/sentry/monitors/test_system_incidents.py
crons.system_incidents.tick_decision_window,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,5,src/sentry/options/defaults.py,2326,,both,NEVER_DELETE,,,,src/sentry/monitors/system_incidents.py; tests/sentry/monitors/test_system_incidents.py
crons.system_incidents.use_decisions,static/active,inferred,FLAG_BOOL | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2299,,both,NEVER_DELETE,,,,src/sentry/monitors/consumers/clock_tick_consumer.py; src/sentry/monitors/consumers/incident_occurrences_consumer.py; tests/sentry/monitors/consumers/test_clock_tick_consumer.py; tests/sentry/monitors/consumers/test_incident_occurrence_consumer.py
dashboards.prebuilt-dashboard-ids,static/active,Sequence,FLAG_ALLOW_EMPTY | FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3667,,both,NEVER_DELETE,,,,src/sentry/dashboards/endpoints/organization_dashboards.py; tests/sentry/dashboards/endpoints/test_organization_dashboards.py
data-forwarding.project-cache-ttl,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,300,src/sentry/options/defaults.py,103,,both,NEVER_DELETE,,,,src/sentry/tasks/post_process.py
data-forwarding.task-rollout-rate,static/active,Float,FLAG_AUTOMATOR_MODIFIABLE,0.0,src/sentry/options/defaults.py,109,,both,NEVER_DELETE,,,,src/sentry/integrations/data_forwarding/base.py; tests/sentry/integrations/data_forwarding/amazon_sqs/test_forwarder.py; tests/sentry/integrations/data_forwarding/segment/test_forwarder.py; tests/sentry/integrations/data_forwarding/splunk/test_forwarder.py; tests/sentry/integrations/data_forwarding/test_base.py; tests/sentry/integrations/data_forwarding/test_tasks.py
database.encryption.method,static/active,String,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,"""plaintext""",src/sentry/options/defaults.py,3503,,both,NEVER_DELETE,,,,src/sentry/db/models/fields/encryption/_base.py; tests/sentry/db/models/fields/encryption/test_base.py; tests/sentry/db/models/fields/encryption/test_encrypted_char_field.py; tests/sentry/db/models/fields/encryption/test_encrypted_json_field.py; tests/sentry/db/models/fields/encryption/test_encrypted_text_field.py
delayed_processing.batch_size,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,10000,src/sentry/options/defaults.py,3122,,both,NEVER_DELETE,,,,src/sentry/workflow_engine/processors/schedule.py; tests/sentry/workflow_engine/processors/test_schedule.py; tests/sentry/workflow_engine/tasks/test_delayed_workflows.py
delayed_workflow.rollout,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3127,,string,NEVER_DELETE,,,,src/sentry/workflow_engine/buffer/batch_client.py; tests/sentry/workflow_engine/processors/test_schedule.py; tests/sentry/workflow_engine/test_integration.py
deletions.group-hash-metadata.batch-size,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,1000,src/sentry/options/defaults.py,341,,both,NEVER_DELETE,,,,src/AGENTS.md; src/sentry/deletions/defaults/group.py
deletions.group-hashes-batch-size,static/active,Int,FLAG_AUTOMATOR_MODIFIABLE,100,src/sentry/options/defaults.py,335,,both,NEVER_DELETE,,,,src/sentry/deletions/defaults/group.py
demo-mode.enabled,static/active,Bool,FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,3335,,both,NEVER_DELETE,,,,src/sentry/demo_mode/utils.py; tests/getsentry/web/test_identity.py; tests/sentry/api/endpoints/test_email_capture.py; tests/sentry/api/test_permissions.py; tests/sentry/auth/test_helper.py; tests/sentry/core/endpoints/test_organization_index.py; tests/sentry/demo_mode/test_utils.py; tests/sentry/issues/endpoints/test_group.py; tests/sentry/middleware/test_demo_mode_guard.py; tests/sentry/users/api/endpoints/test_auth_index.py; tests/sentry/users/api/endpoints/test_user_ips.py; tests/sentry/web/frontend/test_auth_login.py; tests/sentry/web/frontend/test_auth_organization_login.py; tests/sentry/web/frontend/test_setup_wizard.py
demo-mode.orgs,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3342,,both,NEVER_DELETE,,,,src/sentry/demo_mode/utils.py; tests/sentry/auth/test_helper.py; tests/sentry/demo_mode/test_utils.py; tests/sentry/issues/endpoints/test_group.py; tests/sentry/middleware/test_demo_mode_guard.py; tests/sentry/web/frontend/test_auth_login.py; tests/sentry/web/frontend/test_auth_organization_login.py; tests/sentry/web/frontend/test_setup_wizard.py
demo-mode.users,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3348,,both,NEVER_DELETE,,,,src/sentry/demo_mode/utils.py; tests/getsentry/web/test_identity.py; tests/sentry/api/test_permissions.py; tests/sentry/auth/test_helper.py; tests/sentry/core/endpoints/test_organization_index.py; tests/sentry/demo_mode/test_utils.py; tests/sentry/issues/endpoints/test_group.py; tests/sentry/users/api/endpoints/test_auth_index.py; tests/sentry/users/api/endpoints/test_user_ips.py; tests/sentry/web/frontend/test_auth_login.py; tests/sentry/web/frontend/test_auth_organization_login.py; tests/sentry/web/frontend/test_setup_wizard.py
demo-org-ids,static/active,inferred,FLAG_AUTOMATOR_MODIFIABLE,[],src/sentry/options/defaults.py,3354,,both,NEVER_DELETE,,,,src/sentry/integrations/utils/commit_context.py
devtoolbar.analytics.enabled,static/active,Bool,FLAG_ALLOW_EMPTY | FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,561,,both,NEVER_DELETE,,,,src/sentry/middleware/devtoolbar.py; tests/sentry/middleware/test_devtoolbar.py
discord.application-id,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,,src/sentry/options/defaults.py,815,,both,NEVER_DELETE,,,,getsentry/conf/settings/cellsilo.py; getsentry/conf/settings/controlsilo.py; getsentry/conf/settings/defaults.py; src/sentry/integrations/discord/client.py; src/sentry/integrations/discord/integration.py; tests/sentry/integrations/discord/test_client.py; tests/sentry/integrations/discord/test_integration.py
