key,category,type,flags,default,source,lineno,django_setting,found_by,safe_to_delete,hints,has_db_value,has_disk_value,usages
spans.buffer.flusher.backpressure-seconds,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,10,src/sentry/options/defaults.py,2896,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process/flusher.py; tests/sentry/spans/test_buffer.py
spans.buffer.flusher.flush-lock-ttl,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,2920,,both,NEVER_DELETE,,,,src/sentry/spans/buffer.py; src/sentry/spans/buffer_store.py; tests/sentry/spans/test_buffer.py; tests/sentry/spans/test_buffer_store.py
spans.buffer.flusher.log-flushed-segments,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2966,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process/flusher.py; tests/sentry/spans/consumers/process/test_flusher.py; tests/sentry/spans/test_buffer.py
spans.buffer.flusher.max-unhealthy-seconds,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,60,src/sentry/options/defaults.py,2902,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process/flusher.py; tests/sentry/spans/consumers/process/test_flusher.py; tests/sentry/spans/test_buffer.py
spans.buffer.flusher.use-stuck-detector,static/active,inferred,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,False,src/sentry/options/defaults.py,2908,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process/flusher.py; tests/sentry/spans/consumers/process/test_flusher.py; tests/sentry/spans/test_buffer.py
spans.buffer.max-flush-segments,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,500,src/sentry/options/defaults.py,2882,,both,NEVER_DELETE,,,,src/sentry/spans/buffer.py; tests/sentry/spans/consumers/process/test_flusher.py; tests/sentry/spans/test_buffer.py
spans.buffer.max-memory-percentage,static/active,Float,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,1.0,src/sentry/options/defaults.py,2889,,both,NEVER_DELETE,,,,src/sentry/spans/consumers/process/flusher.py; tests/sentry/spans/test_buffer.py
spans.buffer.max-segment-bytes,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,10 * 1024 * 1024,src/sentry/options/defaults.py,2868,,both,NEVER_DELETE,,,,src/sentry/spans/README.md; src/sentry/spans/buffer.py; src/sentry/spans/buffer_types.py; tests/sentry/spans/test_buffer.py
spans.buffer.max-spans-per-evalsha,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,2943,,both,NEVER_DELETE,,,,src/sentry/spans/buffer.py; tests/sentry/spans/test_buffer.py
spans.buffer.pipeline-batch-size,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,0,src/sentry/options/defaults.py,2935,,both,NEVER_DELETE,,,,src/sentry/spans/buffer.py; tests/sentry/spans/test_buffer.py
spans.buffer.redis-ttl,static/active,Int,FLAG_PRIORITIZE_DISK | FLAG_AUTOMATOR_MODIFIABLE,3600,src/sentry/options/defaults.py,2875,,both,NEVER_DELETE,,,,src/sentry/spans/buffer.py; tests/sentry/spans/test_buffer.py
